,
1,Massachusetts Institute of Technology (MIT) 
2,Stanford University
3,University of Oxford
4,Harvard University
5,Carnegie Mellon University
6,University of Cambridge
7,"University of California, Berkeley (UCB)"
8,ETH Zurich (Swiss Federal Institute of Technology)
9,National University of Singapore (NUS)
10,Princeton University
11,University of Toronto
12,Imperial College London
13,The University of Melbourne
14=,Nanyang Technological University (NTU)
14=,The Hong Kong University of Science and Technology (HKUST)
16,"University of California, Los Angeles (UCLA)"
17,Tsinghua University
18,Ecole Polytechnique Fédérale de Lausanne (EPFL)
19,University of Hong Kong (HKU)
20,University of Edinburgh
21,The University of Tokyo
22,The Chinese University of Hong Kong (CUHK)
23,Peking University
24,University of British Columbia
25,Georgia Institute of Technology (Georgia Tech)
26=,Cornell University
26=,University of Waterloo
28=,California Institute of Technology (Caltech)
28=,University of Washington
30,University of Illinois at Urbana-Champaign
31=,Australian National University (ANU)
31=,Columbia University
33,UCL (University College London)
34,University of Texas at Austin
35,The University of New South Wales (UNSW)
36=,KAIST - Korea Advanced Institute of Science and Technology
36=,Technische Universität München
38,Yale University
39,University of Pennsylvania
40=,Seoul National University (SNU)
40=,The University of Sydney
42,New York University (NYU)
43,Politecnico di Milano
44=,Shanghai Jiao Tong University
44=,"University of California, San Diego (UCSD)"
46,National Taiwan University (NTU)
47,University of Michigan
48,University of Chicago
49=,City University of Hong Kong
49=,The Hong Kong Polytechnic University
